"ID","ROLEID","PERMISSIONID","ISACTIVE","CREATEDBY","CREATEDDATE","MODIFIEDBY","MODIFIEDDATE","ISDELETED"
125,2,23,1,"",28-JAN-25,"",,1
126,2,29,1,"",28-JAN-25,"",,1
127,2,32,1,"",28-JAN-25,"",,1
128,2,34,1,"",28-JAN-25,"",,1
129,2,38,1,"",28-JAN-25,"",,0
130,2,39,1,"",28-JAN-25,"",,0
131,2,40,1,"",28-JAN-25,"",,0
132,2,43,1,"",28-JAN-25,"",,1
133,2,44,1,"",28-JAN-25,"",,1
134,2,48,1,"",28-JAN-25,"",,1
135,2,53,1,"",28-JAN-25,"",,1
161,1,1,1,"EMP001",27-JAN-25,"",,0
162,1,2,1,"EMP001",27-JAN-25,"",,0
163,1,3,1,"EMP001",27-JAN-25,"",,0
164,1,4,1,"EMP001",27-JAN-25,"",,0
136,1,27,1,"EMP001",28-JAN-25,"",,0
137,1,28,1,"EMP001",27-JAN-25,"",,0
21,1,29,1,"EMP001",27-JAN-25,"",,1
22,1,30,1,"EMP001",27-JAN-25,"",,1
241,1,58,1,"",03-FEB-25,"",,1
202,2,49,0,"",29-JAN-25,"",,0
221,1,57,1,"",29-JAN-25,"",,0
242,2,58,1,"",03-FEB-25,"",,1
243,3,58,1,"",03-FEB-25,"",,1
244,4,58,1,"",03-FEB-25,"",,0
285,2,14,1,"",18-FEB-25,"",,0
282,1,,1,"Tejasvi",18-FEB-25,"",,0
283,1,,1,"Tejasvi",18-FEB-25,"",,0
284,2,14,1,"",18-FEB-25,"",,0
286,2,57,1,"",18-FEB-25,"",,0
287,2,,1,"",18-FEB-25,"",,0
288,2,,1,"",18-FEB-25,"",,0
289,3,14,1,"",18-FEB-25,"",,0
290,3,14,1,"",18-FEB-25,"",,0
291,3,57,1,"",18-FEB-25,"",,0
292,3,,1,"",18-FEB-25,"",,0
293,3,,1,"",18-FEB-25,"",,0
